uuid;name;shortname;synonym-1;description;reference-term-source;reference-term-code;reference-term-relationship;class;datatype;is-set;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Excision of Testis, Left;;Orchidectomy, Left;Excision:(Cutting out or off, without replacement, a portion of a body part) of Testis, Left;ICD10 PCS-BD;0VBB0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Orchidectomy, Bilateral;;Orchidectomy, Bilateral;Excision:(Cutting out or off, without replacement, a portion of a body part) of Orchidectomy, Bilateral;ICD10 PCS-BD;0VBC0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Testis, Right for diagnostic purpose;;Orchidectomy, Right for diagnostic purpose;Excision:(Cutting out or off, without replacement, a portion of a body part) of Testis, Right for diagnostic purpose;ICD10 PCS-BD;0VB90ZX;SAME-AS;Procedure;N/A;;;;;
;Excision of Testis, Left for diagnostic purpose;;Orchidectomy, Left for diagnostic purpose;Excision:(Cutting out or off, without replacement, a portion of a body part) of Testis, Left for diagnostic purpose;ICD10 PCS-BD;0VBB0ZX;SAME-AS;Procedure;N/A;;;;;
;Excision of Orchidectomy, Bilateral for diagnostic purpose;;Orchidectomy, Bilateral for diagnostic purpose;Excision:(Cutting out or off, without replacement, a portion of a body part) of Orchidectomy, Bilateral for diagnostic purpose;ICD10 PCS-BD;0VBC0ZX;SAME-AS;Procedure;N/A;;;;;
;Division of Perineum, Female ;;Episiotomy;Division:(Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part) of Perineum, Female ;ICD10 PCS-BD;0W8NXZZ;SAME-AS;Procedure;N/A;;;;;
;Insertion to Chest Wall ;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) to Chest Wall ;ICD10 PCS-BD;0WH83YZ;SAME-AS;Procedure;N/A;;;;;
;Insertion to Peritoneal Cavity ;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) to Peritoneal Cavity ;ICD10 PCS-BD;0WHG0YZ;SAME-AS;Procedure;N/A;;;;;
;Insertion to Retroperitoneum;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) to Retroperitoneum;ICD10 PCS-BD;0WHH0YZ;SAME-AS;Procedure;N/A;;;;;
;Insertion to Pelvic Cavity ;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) to Pelvic Cavity ;ICD10 PCS-BD;0WHJ0YZ;SAME-AS;Procedure;N/A;;;;;
;Insertion to Gastrointestinal Tract;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) to Gastrointestinal Tract;ICD10 PCS-BD;0WHP7YZ;SAME-AS;Procedure;N/A;;;;;
;Insertion to Genitourinary Tract;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) to Genitourinary Tract;ICD10 PCS-BD;0WHR7YZ;SAME-AS;Procedure;N/A;;;;;
;Removal from Chest Wall ;;;Removal:( Taking out or off a device from a body part) from Chest Wall ;ICD10 PCS-BD;0WP8X0Z;SAME-AS;Procedure;N/A;;;;;
;Removal from Pleural Cavity, Right;;;Removal:( Taking out or off a device from a body part) from Pleural Cavity, Right;ICD10 PCS-BD;0WP9X0Z;SAME-AS;Procedure;N/A;;;;;
;Removal from Pleural Cavity,Left;;;Removal:( Taking out or off a device from a body part) from Pleural Cavity,Left;ICD10 PCS-BD;0WPBX0Z;SAME-AS;Procedure;N/A;;;;;
;Removal from Peritoneal Cavity;;;Removal:( Taking out or off a device from a body part) from Peritoneal Cavity;ICD10 PCS-BD;0WPGX0Z;SAME-AS;Procedure;N/A;;;;;
;Removal from Pelvic Cavity;;;Removal:( Taking out or off a device from a body part) from Pelvic Cavity;ICD10 PCS-BD;0WPJX0Z;SAME-AS;Procedure;N/A;;;;;
;Removal from Retroperitoneum;;;Removal:( Taking out or off a device from a body part) from Retroperitoneum;ICD10 PCS-BD;0WPHX0Z;SAME-AS;Procedure;N/A;;;;;
;Removal from Gastrointestinal Tract;;;Removal:( Taking out or off a device from a body part) from Gastrointestinal Tract;ICD10 PCS-BD;0WPPXYZ;SAME-AS;Procedure;N/A;;;;;
;Removal from Respiratory Tract;;;Removal:( Taking out or off a device from a body part) from Respiratory Tract;ICD10 PCS-BD;0WPQXYZ;SAME-AS;Procedure;N/A;;;;;
;Removal from Genitourinary Tract;;;Removal:( Taking out or off a device from a body part) from Genitourinary Tract;ICD10 PCS-BD;0WPRXYZ;SAME-AS;Procedure;N/A;;;;;
;Repair of Abdominal Wall;;Abdominoplasty ;Repair: ( Restoring, to the extent possible, a body part to its normal anatomic structure and function) of Abdominal Wall;ICD10 PCS-BD;0WQF0ZZ;SAME-AS;Procedure;N/A;;;;;
;Repair of Perineum, Female;;Episiorrhaphy, Repair of Perineum(Female);Repair: ( Restoring, to the extent possible, a body part to its normal anatomic structure and function) of Perineum, Female;ICD10 PCS-BD;0WQN0ZZ;SAME-AS;Procedure;N/A;;;;;
;Supplement of Abdominal Wall with synthetic substitute;;Abdominoplasty with Supplement;Supplement:( Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of the body part) of Abdominal Wall with synthetic substitute;ICD10 PCS-BD;0WU50JZ;SAME-AS;Procedure;N/A;;;;;
;Supplement of Inguinal Region, Right with synthetic substitute;;Inguinal Hernia, Right Supplement;Supplement:( Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of the body part) of Inguinal Region, Right with synthetic substitute;ICD10 PCS-BD;0YU50JZ;SAME-AS;Procedure;N/A;;;;;
;Supplement of Inguinal Region, Left with synthetic substitute;;Inguinal Hernia, Left Supplement;Supplement:( Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of the body part) of Inguinal Region, Left with synthetic substitute;ICD10 PCS-BD;0YU60JZ;SAME-AS;Procedure;N/A;;;;;
;Supplement of Femoral Region, Right with synthetic substitute;;Femoral Hernia, Right Supplement;Supplement:( Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of the body part) of Femoral Region, Right with synthetic substitute;ICD10 PCS-BD;0YU70JZ;SAME-AS;Procedure;N/A;;;;;
;Supplement of Femoral Region, Left with synthetic substitute;;Femoral Hernia, Left Supplement;Supplement:( Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of the body part) of Femoral Region, Left with synthetic substitute;ICD10 PCS-BD;0YU80JZ;SAME-AS;Procedure;N/A;;;;;
;Supplement of Inguinal Region, Bilateral with synthetic substitute;;Inguinal Hernia, Bilateral Supplement;Supplement:( Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of the body part) of Inguinal Region, Bilateral with synthetic substitute;ICD10 PCS-BD;0YUA0JZ;SAME-AS;Procedure;N/A;;;;;
;Supplement of Femoral Region, Bilateral with synthetic substitute;;Femoral Hernia, Bilateral Supplement;Supplement:( Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of the body part) of Femoral Region, Bilateral with synthetic substitute;ICD10 PCS-BD;0YUE0JZ;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Right, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Right, Complete;ICD10 PCS-BD;0X6L0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Right, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Right, High;ICD10 PCS-BD;0X6L0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Right, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Right, Mid;ICD10 PCS-BD;0X6L0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Right, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Right, Low;ICD10 PCS-BD;0X6L0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Left, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Left, Complete;ICD10 PCS-BD;0X6M0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Left, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Left, High;ICD10 PCS-BD;0X6M0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Left, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Left, Mid;ICD10 PCS-BD;0X6M0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Thumb, Left, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Thumb, Left, Low;ICD10 PCS-BD;0X6M0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Right, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Right, Complete;ICD10 PCS-BD;0X6N0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Right, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Right, High;ICD10 PCS-BD;0X6N0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Right, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Right, Mid;ICD10 PCS-BD;0X6N0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Right, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Right, Low;ICD10 PCS-BD;0X6N0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Leftt, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Leftt, Complete;ICD10 PCS-BD;0X6P0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Left, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Left, High;ICD10 PCS-BD;0X6P0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Left, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Left, Mid;ICD10 PCS-BD;0X6P0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Index Finger, Left, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Index Finger, Left, Low;ICD10 PCS-BD;0X6P0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Right, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Right, Complete;ICD10 PCS-BD;0X6Q0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Right, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Right, High;ICD10 PCS-BD;0X6Q0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Right, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Right, Mid;ICD10 PCS-BD;0X6Q0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Right, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Right, Low;ICD10 PCS-BD;0X6Q0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Leftt, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Leftt, Complete;ICD10 PCS-BD;0X6R0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Left, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Left, High;ICD10 PCS-BD;0X6R0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Left, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Left, Mid;ICD10 PCS-BD;0X6R0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Middle Finger, Left, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Middle Finger, Left, Low;ICD10 PCS-BD;0X6R0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Right, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Right, Complete;ICD10 PCS-BD;0X6S0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Right, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Right, High;ICD10 PCS-BD;0X6S0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Right, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Right, Mid;ICD10 PCS-BD;0X6S0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Right, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Right, Low;ICD10 PCS-BD;0X6S0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Leftt, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Leftt, Complete;ICD10 PCS-BD;0X6T0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Left, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Left, High;ICD10 PCS-BD;0X6T0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Left, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Left, Mid;ICD10 PCS-BD;0X6T0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Ring Finger, Left, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Ring Finger, Left, Low;ICD10 PCS-BD;0X6T0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finge, Right, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finge, Right, Complete;ICD10 PCS-BD;0X6V0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finge, Right, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finge, Right, High;ICD10 PCS-BD;0X6V0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finger, Right, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finger, Right, Mid;ICD10 PCS-BD;0X6V0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finger, Right, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finger, Right, Low;ICD10 PCS-BD;0X6V0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finger, Left, Complete;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finger, Left, Complete;ICD10 PCS-BD;0X6W0Z0;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finger, Left, High;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finger, Left, High;ICD10 PCS-BD;0X6W0Z1;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finger, Left, Mid;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finger, Left, Mid;ICD10 PCS-BD;0X6W0Z2;SAME-AS;Procedure;N/A;;;;;
;Detachment of Little Finger, Left, Low;;;Detachment: (Cutting off all or a portion of the upper or lower extremities) of Little Finger, Left, Low;ICD10 PCS-BD;0X6W0Z3;SAME-AS;Procedure;N/A;;;;;
;Drainage from Shoulder Region, Right with needle;;Needle aspiration, Shoulder Region, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Shoulder Region, Right with needle;ICD10 PCS-BD;0X9230Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Shoulder Region, Left with needle;;Needle aspiration, Shoulder Region, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Shoulder Region, Left with needle;ICD10 PCS-BD;0X9330Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Axilla, Right with needle;;Needle aspiration, Axilla, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Axilla, Right with needle;ICD10 PCS-BD;0X9430Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Axilla, Left with needle;;Needle aspiration, Axilla, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Axilla, Left with needle;ICD10 PCS-BD;0X9530Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Upper Extremity, Right with needle;;Needle aspiration,Upper Extremity, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Extremity, Right with needle;ICD10 PCS-BD;0X9630Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Upper Extremity, Left with needle;;Needle aspiration,Upper Extremity, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Extremity, Left with needle;ICD10 PCS-BD;0X9730Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Upper Arm, Right with needle;;Needle aspiration,Upper Arm, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Arm, Right with needle;ICD10 PCS-BD;0X9830Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Upper Arm, Left with needle;;Needle aspiration,Upper Arm, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Arm, Left with needle;ICD10 PCS-BD;0X9930Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Elbow Region, Right with needle;;Needle aspiration,Elbow Region, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Elbow Region, Right with needle;ICD10 PCS-BD;0X9B30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Elbow Region, Left with needle;;Needle aspiration,Elbow Region, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Elbow Region, Left with needle;ICD10 PCS-BD;0X9C30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lower Arm, Right with needle;;Needle aspiration,Lower Arm, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Arm, Right with needle;ICD10 PCS-BD;0X9D30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lower Arm, Left with needle;;Needle aspiration,Lower Arm, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Arm, Left with needle;ICD10 PCS-BD;0X9F30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Wrist Region, Right with needle;;Needle aspiration,Wrist Region, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Wrist Region, Right with needle;ICD10 PCS-BD;0X9G30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Wrist Region, Left with needle;;Needle aspiration,Wrist Region, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Wrist Region, Left with needle;ICD10 PCS-BD;0X9H30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Hand, Right with needle;;Needle aspiration,Hand, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Hand, Right with needle;ICD10 PCS-BD;0X9J30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Hand, Left with needle;;Needle aspiration,Hand, Left;Drainage: (Taking or letting out fluids and/or gases from a body part) from Hand, Left with needle;ICD10 PCS-BD;0X9K30Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Shoulder Region, Right ;;Abscess drainage, Shoulder Region, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Shoulder Region, Right ;ICD10 PCS-BD;0X9200Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Shoulder Region, Left;;Abscess drainage, Shoulder Region, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Shoulder Region, Left;ICD10 PCS-BD;0X9300Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Axilla, Right;;Abscess drainage, Axilla, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Axilla, Right;ICD10 PCS-BD;0X9400Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Axilla, Left;;Abscess drainage, Axilla, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Axilla, Left;ICD10 PCS-BD;0X9500Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Upper Extremity, Right;;Abscess drainage,Upper Extremity, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Extremity, Right;ICD10 PCS-BD;0X9600Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Upper Extremity, Left;;Abscess drainage,Upper Extremity, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Extremity, Left;ICD10 PCS-BD;0X9700Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Upper Arm, Right;;Abscess drainage,Upper Arm, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Arm, Right;ICD10 PCS-BD;0X9800Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Upper Arm, Left;;Abscess drainage,Upper Arm, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Arm, Left;ICD10 PCS-BD;0X9900Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Elbow Region, Right;;Abscess drainage,Elbow Region, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Elbow Region, Right;ICD10 PCS-BD;0X9B00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Elbow Region, Left;;Abscess drainage,Elbow Region, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Elbow Region, Left;ICD10 PCS-BD;0X9C00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Lower Arm, Right;;Abscess drainage,Lower Arm, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Arm, Right;ICD10 PCS-BD;0X9D00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Lower Arm, Left;;Abscess drainage,Lower Arm, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Arm, Left;ICD10 PCS-BD;0X9F00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Wrist Region, Right;;Abscess drainage,Wrist Region, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Wrist Region, Right;ICD10 PCS-BD;0X9G00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Wrist Region, Left;;Abscess drainage,Wrist Region, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Wrist Region, Left;ICD10 PCS-BD;0X9H00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Hand, Right;;Abscess drainage,Hand, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Hand, Right;ICD10 PCS-BD;0X9J00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Hand, Left;;Abscess drainage,Hand, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Hand, Left;ICD10 PCS-BD;0X9K00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Buttock, Right;;Abscess drainage,Buttock, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Buttock, Right;ICD10 PCS-BD;0Y9000Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Buttock, Left;;Abscess drainage,Buttock, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Buttock, Left;ICD10 PCS-BD;0Y9100Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Inguinal Region, Right;;Abscess drainage,Inguinal Region, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Inguinal Region, Right;ICD10 PCS-BD;0Y9500Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Inguinal Region, Left;;Abscess drainage,Inguinal Region, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Inguinal Region, Left;ICD10 PCS-BD;0Y9600Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Femoral Region, Right;;Abscess drainage,Femoral Region, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Femoral Region, Right;ICD10 PCS-BD;0Y9700Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Femoral Region, Left;;Abscess drainage,Femoral Region, left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Femoral Region, Left;ICD10 PCS-BD;0Y9800Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Lower Extremity, Right;;Abscess drainage,Lower Extremity, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Extremity, Right;ICD10 PCS-BD;0Y9900Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Lower Extremity, Left;;Abscess drainage,Lower Extremity, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Extremity, Left;ICD10 PCS-BD;0Y9B00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Upper Leg, Right;;Abscess drainage,Upper Leg, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Leg, Right;ICD10 PCS-BD;0Y9C00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Upper Leg, Left;;Abscess drainage,Upper Leg, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Upper Leg, Left;ICD10 PCS-BD;0Y9D00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Knee Region, Right;;Abscess drainage,Knee Region, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Knee Region, Right;ICD10 PCS-BD;0Y9F00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Knee Region, Left;;Abscess drainage,Knee Region, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Knee Region, Left;ICD10 PCS-BD;0Y9G00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Lower Leg, Right;;Abscess drainage,Lower Leg, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Leg, Right;ICD10 PCS-BD;0Y9H00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Lower Leg, Left;;Abscess drainage,Lower Leg, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Lower Leg, Left;ICD10 PCS-BD;0Y9J00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Ankle Region, Right;;Abscess drainage,Ankle Region, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Ankle Region, Right;ICD10 PCS-BD;0Y9K00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Ankle Region, Left;;Abscess drainage,Ankle Region, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Ankle Region, Left;ICD10 PCS-BD;0Y9L00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Foot, Right;;Abscess drainage,Foot, Right;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Foot, Right;ICD10 PCS-BD;0Y9M00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Foot, Left;;Abscess drainage,Foot, Left;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Foot, Left;ICD10 PCS-BD;0Y9N00Z;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Buttock, Right with drainage device;;Abscess drainage,Buttock, Right with drainage device;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Buttock, Right with drainage device;ICD10 PCS-BD;0Y900ZZ;SAME-AS;Procedure;N/A;;;;;
;Incision & Drainage from Buttock, Left with drainage device;;Abscess drainage,Buttock, Left with drainage device;Incision & Drainage: (Taking or letting out fluids and/or gases from a body part) from Buttock, Left with drainage device;ICD10 PCS-BD;0Y910ZZ;SAME-AS;Procedure;N/A;;;;;
